arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_formats.py,funcao,_get_currency_decimals,4,6,7,13,10,20,23.5098,66.4386,4.3333,287.9004,15.9945,0.0221
great_tables/_formats.py,funcao,_get_currency_exponent,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_validate_n_sigfig,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_formats.py,funcao,_round_rhu,4,9,6,12,13,18,36.5293,66.6079,2.6667,177.6211,9.8678,0.0222
great_tables/_formats.py,funcao,_as_roman,4,5,4,8,9,12,19.6096,38.0391,3.2,121.7251,6.7625,0.0127
great_tables/_formats.py,funcao,_validate_case,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_get_date_formats_dict,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_time_formats_dict,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_date_format,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_time_format,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_validate_date_style,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_validate_time_style,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,_iso_str_to_time,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_iso_str_to_datetime,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_iso_str_to_date,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_validate_date_obj,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_formats.py,funcao,_validate_time_obj,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_formats.py,funcao,_validate_datetime_obj,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_formats.py,funcao,fmt_image,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
great_tables/_formats.py,funcao,to_html,4,8,4,8,12,12,32.0,43.0196,2.0,86.0391,4.78,0.0143
great_tables/_formats.py,funcao,to_latex,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_apply_pattern,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_image_uri,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_get_mime_type,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
great_tables/_formats.py,funcao,_build_img_tag,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
great_tables/_formats.py,funcao,fmt_icon,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_flag,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_replace_flag_svg,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_formats.py,funcao,fmt_nanoplot,9,24,16,28,33,44,138.5684,221.9533,5.25,1165.255,64.7364,0.074
great_tables/_formats.py,funcao,_generate_data_vals,8,19,12,22,27,34,104.7106,161.6662,4.6316,748.7697,41.5983,0.0539
great_tables/_formats.py,funcao,_process_number_stream,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,_process_time_stream,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_formats.py,funcao,fmt_by_context,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locale.py,funcao,read_csv,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_locale.py,funcao,__init__,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
great_tables/_locale.py,funcao,_get_locales_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_locale.py,funcao,_get_default_locales_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_locale.py,funcao,_get_currencies_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_locale.py,funcao,_get_flags_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_locale.py,funcao,_get_durations_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_spanners.py,funcao,tab_spanner,8,26,19,37,34,56,146.2114,284.8979,5.6923,1621.7266,90.0959,0.095
great_tables/_spanners.py,funcao,split_string,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_spanners.py,funcao,split_columns,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_spanners.py,funcao,get_rectangle,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_spanners.py,funcao,spanner_groups,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_spanners.py,funcao,tab_spanner_delim,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_spanners.py,funcao,_validate_sel_cols,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
great_tables/_spanners.py,funcao,cols_move,4,6,6,11,10,17,23.5098,56.4728,3.6667,207.0669,11.5037,0.0188
great_tables/_spanners.py,funcao,cols_move_to_start,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_spanners.py,funcao,cols_move_to_end,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_spanners.py,funcao,cols_hide,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_spanners.py,funcao,cols_unhide,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_spanners.py,funcao,spanners_print_matrix,4,10,8,11,14,19,41.2193,72.3397,2.2,159.1474,8.8415,0.0241
great_tables/_spanners.py,funcao,empty_spanner_matrix,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_spanners.py,funcao,cols_width,3,5,4,6,8,10,16.3645,30.0,1.8,54.0,3.0,0.01
great_tables/_spanners.py,funcao,cols_merge,3,10,6,12,13,18,37.9742,66.6079,1.8,119.8942,6.6608,0.0222
great_tables/_spanners.py,funcao,cols_merge_uncert,6,11,6,12,17,18,53.5635,73.5743,3.2727,240.7887,13.3772,0.0245
great_tables/_spanners.py,funcao,cols_merge_range,4,9,6,12,13,18,36.5293,66.6079,2.6667,177.6211,9.8678,0.0222
great_tables/_spanners.py,funcao,cols_merge_n_pct,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
great_tables/_spanners.py,funcao,cols_reorder,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_pipe.py,funcao,pipe,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_html.py,funcao,_get_locnum_for_footnote_location,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_html.py,funcao,_get_summary_locnum,6,14,14,26,20,40,68.8127,172.8771,5.5714,963.1725,53.5096,0.0576
great_tables/_utils_render_html.py,funcao,_is_loc,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_html.py,funcao,_flatten_styles,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_html.py,funcao,_create_element_id,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils_render_html.py,funcao,create_heading_component_h,4,10,8,13,14,21,41.2193,79.9545,2.6,207.8816,11.549,0.0267
great_tables/_utils_render_html.py,funcao,create_columns_component_h,12,54,51,101,66,152,353.7835,918.7479,11.2222,10310.3932,572.7996,0.3062
great_tables/_utils_render_html.py,funcao,create_body_component_h,9,49,37,75,58,112,303.6501,656.0939,6.8878,4519.0139,251.0563,0.2187
great_tables/_utils_render_html.py,funcao,_create_row_component_h,6,55,46,96,61,142,333.4846,842.1647,5.2364,4409.8806,244.9934,0.2807
great_tables/_utils_render_html.py,funcao,create_source_notes_component_h,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
great_tables/_utils_render_html.py,funcao,create_footer_component_h,5,10,6,11,15,17,44.8289,66.4171,2.75,182.6471,10.1471,0.0221
great_tables/_utils_render_html.py,funcao,_should_display_footnote,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
great_tables/_utils_render_html.py,funcao,_process_footnotes_for_display,8,14,10,17,22,27,77.303,120.4047,4.8571,584.8226,32.4901,0.0401
great_tables/_utils_render_html.py,funcao,_get_footnote_mark_symbols,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_html.py,funcao,_generate_footnote_mark,8,13,9,17,21,26,72.1057,114.2003,5.2308,597.3552,33.1864,0.0381
great_tables/_utils_render_html.py,funcao,_get_footnote_marks_option,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils_render_html.py,funcao,_create_footnote_mark_html,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_utils_render_html.py,funcao,_get_footnote_mark_string,8,17,13,20,25,33,93.4869,153.2473,4.7059,721.1635,40.0646,0.0511
great_tables/_utils_render_html.py,funcao,_get_column_index,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
great_tables/_utils_render_html.py,funcao,_get_spanner_leftmost_column_index,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
great_tables/_utils_render_html.py,funcao,_apply_footnotes_to_text,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
great_tables/_utils_render_html.py,funcao,_apply_footnote_placement,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
great_tables/_utils_render_html.py,funcao,_is_numeric_content,3,5,4,6,8,10,16.3645,30.0,1.8,54.0,3.0,0.01
great_tables/_utils_render_html.py,funcao,rtl_modern_unicode_charset,1,16,10,20,17,30,64.0,122.6239,0.625,76.6399,4.2578,0.0409
great_tables/_utils_render_html.py,funcao,_get_spanners_matrix_height,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_html.py,funcao,_get_table_defs,6,16,12,26,22,38,79.5098,169.4584,4.875,826.1097,45.895,0.0565
great_tables/_utils_render_latex.py,funcao,_not_implemented,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_latex.py,funcao,is_css_length_string,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,is_number_without_units,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,css_length_has_supported_units,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_utils_render_latex.py,funcao,get_units_from_length_string,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,get_px_conversion,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
great_tables/_utils_render_latex.py,funcao,convert_to_px,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils_render_latex.py,funcao,convert_to_pt,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils_render_latex.py,funcao,latex_heading_row,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,create_table_start_l,7,14,8,15,21,23,72.9545,101.0233,3.75,378.8374,21.0465,0.0337
great_tables/_utils_render_latex.py,funcao,create_heading_component_l,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_utils_render_latex.py,funcao,create_columns_component_l,7,38,25,50,45,75,219.0727,411.889,4.6053,1896.8572,105.381,0.1373
great_tables/_utils_render_latex.py,funcao,create_body_component_l,11,28,22,44,39,66,172.6597,348.8365,8.6429,3014.9444,167.4969,0.1163
great_tables/_utils_render_latex.py,funcao,_create_summary_row_l,3,4,3,6,7,9,12.7549,25.2662,2.25,56.8489,3.1583,0.0084
great_tables/_utils_render_latex.py,funcao,create_footer_component_l,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils_render_latex.py,funcao,create_table_end_l,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,derive_table_width_statement_l,5,11,6,11,16,17,49.6634,68.0,2.5,170.0,9.4444,0.0227
great_tables/_utils_render_latex.py,funcao,create_fontsize_statement_l,4,14,11,21,18,32,61.303,133.4376,3.0,400.3128,22.2396,0.0445
great_tables/_utils_render_latex.py,funcao,create_wrap_start_l,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils_render_latex.py,funcao,create_wrap_end_l,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_utils_render_latex.py,funcao,_render_as_latex,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_export.py,funcao,_create_temp_file_server,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_export.py,funcao,_infer_render_target,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
great_tables/_export.py,funcao,show,2,6,4,8,8,12,17.5098,36.0,1.3333,48.0,2.6667,0.012
great_tables/_export.py,funcao,as_raw_html,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_export.py,funcao,as_latex,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_export.py,funcao,save,5,12,6,12,17,18,54.6292,73.5743,2.5,183.9358,10.2187,0.0245
great_tables/_export.py,funcao,_save_screenshot,3,19,11,22,22,33,85.4655,147.1612,1.7368,255.5958,14.1998,0.0491
great_tables/_export.py,funcao,_dump_debug_screenshot,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_export.py,funcao,write_raw_html,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_export.py,funcao,gtsave,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_utils.py,funcao,_try_import,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils.py,funcao,heading_has_title,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils.py,funcao,heading_has_subtitle,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_utils.py,funcao,_match_arg,3,7,5,7,10,12,24.4064,39.8631,1.5,59.7947,3.3219,0.0133
great_tables/_utils.py,funcao,_assert_str_scalar,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
great_tables/_utils.py,funcao,_assert_str_list,1,2,2,2,3,4,2.0,6.3399,0.5,3.1699,0.1761,0.0021
